"Index","KernelName","gpu-id","queue-id","queue-index","pid","tid","grd","wgr","lds","scr","arch_vgpr","accum_vgpr","sgpr","wave_size","sig","obj","DispatchNs","BeginNs","EndNs","CompleteNs","DurationNs"
2393,"rmsq.kd",1,0,2601,611771,611771,32,32,512,0,80,0,128,32,"0x0","0x751020995e80",255614346089933,255626789898359,255626789915981,255614365924057,17622
2394,"gemm_nl.kd",1,0,2603,611771,611771,1114112,64,1536,0,48,0,128,32,"0x0","0x751020996380",255614346094573,255626789920979,255626790409296,255614366445176,488317
2395,"gemm_xs.kd",1,1,136,611771,611771,1114112,64,1536,0,96,0,128,32,"0x0","0x751020995f00",255614346096862,255626789922850,255626790410319,255614366460326,487469
2396,"silu_mul.kd",1,0,2605,611771,611771,17408,64,0,0,16,0,128,32,"0x0","0x751020996680",255614346101242,255626790417259,255626790424124,255614366503125,6865
2397,"quant_q8.kd",1,0,2606,611771,611771,576,64,0,0,48,0,128,32,"0x0","0x751020995e40",255614346103132,255626790426375,255626790429035,255614366523015,2660
2398,"gemm_q4k.kd",1,0,2607,611771,611771,327680,64,512,0,40,0,128,32,"0x0","0x751020996300",255614346105492,255626790431320,255626790657535,255614366665902,226215
2399,"axpy_scaled.kd",1,0,2608,611771,611771,5120,64,0,0,8,0,128,32,"0x0","0x751020996700",255614346107422,255626790664540,255626790665801,255614366680781,1261
2400,"rmsq.kd",1,0,2609,611771,611771,32,32,512,0,80,0,128,32,"0x0","0x751020995e80",255614346109722,255626790668029,255626790685539,255614366695271,17510
2401,"gemm_q4k.kd",1,0,2611,611771,611771,655360,64,512,0,40,0,128,32,"0x0","0x751020996300",255614346115702,255626790690564,255626790899654,255614366892857,209090
2402,"gemm_q4k.kd",1,1,139,611771,611771,393216,64,512,0,40,0,128,32,"0x0","0x751020996300",255614346117572,255626790692630,255626790861046,255614366866428,168416
2403,"gemm_q8_0.kd",1,0,2614,611771,611771,3072,64,512,0,32,0,128,32,"0x0","0x751020995fc0",255614346124272,255626790906915,255626790913410,255614366961546,6495
2404,"gemm_q8_0.kd",1,1,142,611771,611771,3072,64,512,0,32,0,128,32,"0x0","0x751020995fc0",255614346126922,255626790908419,255626790914048,255614366976075,5629
2405,"gdn_conv.kd",1,0,2616,611771,611771,327680,32,0,0,8,0,128,32,"0x0","0x751020996840",255614346133662,255626790920840,255626790963949,255614367046454,43109
2406,"split3.kd",1,0,2617,611771,611771,10240,64,0,0,8,0,128,32,"0x0","0x751020996b40",255614346136182,255626790966309,255626790967738,255614366990665,1429
2407,"l2_rows2_scale.kd",1,0,2618,611771,611771,1024,32,0,0,8,0,128,32,"0x0","0x751020996ac0",255614346138582,255626790969829,255626790995413,255614367006485,25584
2408,"gdn_beta_g.kd",1,0,2619,611771,611771,64,64,0,0,24,0,128,32,"0x0","0x751020996940",255614346140952,255626790997827,255626791001088,255614367021464,3261
